site_id,pollutant
site_198,PM25
site_5788,PM25
site_5789,PM25
site_302,PM25
site_5776,PM25
site_5777,PM25
site_5396,PM25
site_5113,PM25
site_5810,PM25
site_5961,PM25
site_5120,PM25
site_5106,PM25
site_5397,PM25
site_5400,PM25
site_5412,PM25
site_168,PM25
site_5811,PM25
site_5392,PM25
site_5962,PM25
site_5107,PM25
site_5119,PM25
site_5102,PM25
site_5413,PM25
site_5398,PM25
site_5963,PM25
site_5115,PM25
site_5403,PM25
site_5807,PM25
site_5960,PM25
site_5814,PM25
site_5112,PM25
site_5399,PM25
site_5394,PM25
site_5402,PM25
site_5964,PM25
site_5104,PM25
site_5409,PM25
site_5404,PM25
site_5405,PM25
site_5406,PM25
site_5766,PM25
site_5410,PM25
site_5408,PM25
site_5407,PM25
site_292,PM25
site_5767,PM25
site_5118,PM25
site_5769,PM25
site_5768,PM25
site_5764,PM25
site_5765,PM25
site_5763,PM25
site_5783,PM25
site_5790,PM25
site_5795,PM25
site_5803,PM25
site_5815,PM25
site_5114,PM25
site_5401,PM25
site_5103,PM25
site_5805,PM25
site_5799,PM25
site_261,PM25
site_5808,PM25
site_303,PM25
site_5796,PM25
site_5792,PM25
site_5793,PM25
site_295,PM25
site_271,PM25
site_5784,PM25
site_5791,PM25
site_5804,PM25
site_5809,PM25
site_304,PM25
site_5782,PM25
site_5779,PM25
site_5781,PM25
site_5780,PM25
site_5785,PM25
site_5797,PM25
site_5800,PM25
site_305,PM25
site_5812,PM25
site_5787,PM25
site_5786,PM25
site_5794,PM25
site_5802,PM25
site_5774,PM25
site_5798,PM25
site_5801,PM25
site_5806,PM25
site_5813,PM25
site_198,PM10
site_5788,PM10
site_5789,PM10
site_302,PM10
site_5776,PM10
site_5777,PM10
site_5396,PM10
site_5113,PM10
site_5810,PM10
site_5961,PM10
site_5120,PM10
site_5106,PM10
site_5397,PM10
site_5400,PM10
site_5412,PM10
site_168,PM10
site_5811,PM10
site_5392,PM10
site_5962,PM10
site_5107,PM10
site_5119,PM10
site_5102,PM10
site_5413,PM10
site_5398,PM10
site_5963,PM10
site_5115,PM10
site_5403,PM10
site_5807,PM10
site_5960,PM10
site_5814,PM10
site_5112,PM10
site_5399,PM10
site_5394,PM10
site_5402,PM10
site_5964,PM10
site_5104,PM10
site_5409,PM10
site_5404,PM10
site_5405,PM10
site_5406,PM10
site_5766,PM10
site_5410,PM10
