,site_id,PM25,PM25_clean,site_name,lat,lon,PM25_clean_count,PM25_DA,year,PM25_count,PM25_DA_before,timestamp_count,percentage_change,compliance_change_non_to_compl,compliance_change_compl_to_non,compliance_change,pollutant_before_cleaning_mass_conc,pollutant_after_cleaning
4,site_168,,,Bandra_Mumbai_MPCB,19.0627,72.84614,,0.0,2023,,0.0,,,False,False,False,,
24,site_5104,31.941579957078755,30.932213617177464,Kurla_Mumbai_MPCB,19.0863,72.8888,27245.0,77.75399543378995,2023,30754.0,87.76826484018265,35040.0,-3.160038862378189,False,False,False,31.941579957078755,30.932213617177464
29,site_5106,41.13696221828519,39.91843747050496,Vile_Parle_West_Mumbai_MPCB,19.10861,72.83622,21190.0,60.47374429223744,2023,24271.0,69.26655251141553,35040.0,-2.9621165056242305,True,False,True,41.13696221828519,39.91843747050496
34,site_5107,35.12944234930448,34.95259071642717,Chhatrapati_Shivaji_Intl._Airport_(T2)_Mumbai_MPCB,19.10078,72.87462,29019.0,82.81678082191782,2023,32350.0,92.3230593607306,35040.0,-0.5034285233418099,False,False,False,35.12944234930448,34.95259071642717
59,site_5119,47.55462990501047,46.959011596548,Sion_Mumbai_MPCB,19.047,72.8746,29664.0,84.65753424657534,2023,32951.0,94.03824200913242,35040.0,-1.2524927849343097,False,False,False,47.55462990501047,46.959011596548
69,site_5392,88.96088830857484,89.6701038961039,Bandra_Kurla_Complex_Mumbai_IITM,19.053536,72.84643,15015.0,42.851027397260275,2023,23359.0,66.66381278538813,35040.0,0.7972217915237456,False,False,False,88.96088830857484,89.6701038961039
94,site_5399,54.184603104048605,53.3763207008965,Chakala-Andheri_East_Mumbai_IITM,19.11074,72.86084,24540.0,70.03424657534246,2023,26997.0,77.04623287671232,35040.0,-1.4917197079029851,False,False,False,54.184603104048605,53.3763207008965
129,site_5810,40.110250941756014,39.51851464984891,Bandra_Kurla_Complex_Mumbai_MPCB,19.065931,72.862131,15222.0,43.44178082191781,2023,17255.0,49.243721461187214,35040.0,-1.4752744697767224,True,False,True,40.110250941756014,39.51851464984891
130,site_5811,42.90919437415406,40.7421768477894,Chembur_Mumbai_MPCB,19.0364585,72.8954371,14815.0,42.28025114155251,2023,16993.0,48.49600456621005,35040.0,-5.050240532294733,False,False,False,42.90919437415406,40.7421768477894
131,site_5814,41.34221817366445,40.28606417853991,Kherwadi_Bandra_East_Mumbai_MPCB,19.0632143,72.8456324,15862.0,45.268264840182646,2023,17839.0,50.91038812785388,35040.0,-2.554662139046336,False,False,False,41.34221817366445,40.28606417853991
