,site_id,NO2,NO2_CPCB,site_name,lat,lon,NO2_CPCB_count,NO2_DA,year,NO2_count,NO2_DA_before,timestamp_count,percentage_change,compliance_change_non_to_compl,compliance_change_compl_to_non,compliance_change,pollutant_before_cleaning_mass_conc,pollutant_after_cleaning
1,site_168,9.603594168056146,67.25777180736986,Bandra_Mumbai_MPCB,19.0627,72.84614,5129.0,14.597563752276868,2020,25789.0,73.3976548269581,35136.0,600.3395877668937,False,True,True,9.603594168056146,67.25777180736986
6,site_261,,,Airoli_Navi_Mumbai_MPCB,19.1494,72.9986,,0.0,2020,,0.0,,,False,False,False,,
11,site_5102,15.97146807440925,29.206065126426928,Vasai_West_Mumbai_MPCB,19.3832,72.8204,25667.0,73.05043260473589,2020,29835.0,84.91290983606558,35136.0,82.86399841491838,False,False,False,15.97146807440925,29.206065126426928
16,site_5103,22.09321206390285,38.38935935479898,Nerul_Navi_Mumbai_MPCB,19.008751,73.01662,16243.0,46.228938979963566,2020,20093.0,57.18636156648452,35136.0,73.76087842619182,False,False,False,22.09321206390285,38.38935935479898
21,site_5104,37.15163615686562,68.48748296713273,Kurla_Mumbai_MPCB,19.0863,72.8888,22028.0,62.693533697632056,2020,27259.0,77.58139799635701,35136.0,84.34580560047891,False,True,True,37.15163615686562,68.48748296713273
26,site_5106,26.576173650294454,47.17473278155941,Vile_Parle_West_Mumbai_MPCB,19.10861,72.83622,25856.0,73.58834244080145,2020,32433.0,92.30703551912568,35136.0,77.50761792240448,False,True,True,26.576173650294454,47.17473278155941
31,site_5107,28.11125146062164,52.24008357899694,Chhatrapati_Shivaji_Intl._Airport_(T2)_Mumbai_MPCB,19.10078,72.87462,21235.0,60.43658925318761,2020,25674.0,73.07035519125684,35136.0,85.83336160673979,False,True,True,28.11125146062164,52.24008357899694
36,site_5112,11.926228553494212,20.949270338131903,Powai_Mumbai_MPCB,19.1375,72.915056,23896.0,68.01001821493625,2020,28676.0,81.61429872495447,35136.0,75.65712617501423,False,False,False,11.926228553494212,20.949270338131903
41,site_5113,2.6822399291722,5.623225512584408,Borivali_East_Mumbai_MPCB,19.2243333,72.8658113,16290.0,46.36270491803279,2020,24849.0,70.72233606557377,35136.0,109.64662599441144,False,False,False,2.6822399291722,5.623225512584408
46,site_5114,34.180371633257565,59.12464936020741,Mahape_Navi_Mumbai_MPCB,19.1135051,73.008978,23914.0,68.06124772313296,2020,29034.0,82.63319672131148,35136.0,72.97836897325894,False,True,True,34.180371633257565,59.12464936020741
51,site_5115,22.44441961318097,40.78068287898679,Worli_Mumbai_MPCB,18.9936162,72.8128113,25898.0,73.70787795992713,2020,31591.0,89.91063296903461,35136.0,81.6963128555904,False,True,True,22.44441961318097,40.78068287898679
56,site_5119,39.67171305500332,70.02748320216638,Sion_Mumbai_MPCB,19.047,72.8746,23634.0,67.26434426229508,2020,30180.0,85.8948087431694,35136.0,76.51741709533928,False,True,True,39.67171305500332,70.02748320216638
61,site_5120,26.428427492199045,49.939312737008905,Colaba_Mumbai_MPCB,18.91,72.82,18301.0,52.08617941712204,2020,24356.0,69.31921675774136,35136.0,88.96059083254059,False,True,True,26.428427492199045,49.939312737008905
66,site_5392,50.06212678494158,72.6348475708502,Bandra_Kurla_Complex_Mumbai_IITM,19.053536,72.84643,3952.0,11.247723132969034,2020,4622.0,13.154599271402551,35136.0,45.08941636234753,False,False,False,50.06212678494158,72.6348475708502
71,site_5394,20.695076013513518,35.448759244892685,Mazgaon_Mumbai_IITM,18.96702,72.84214,3867.0,11.005806010928962,2020,4736.0,13.479052823315119,35136.0,71.2907902427866,False,False,False,20.695076013513518,35.448759244892685
76,site_5396,45.45716474245116,75.05023683190251,Deonar_Mumbai_IITM,19.04946,72.923,3611.0,10.277208561020036,2020,4504.0,12.818761384335156,35136.0,65.10100719461549,False,False,False,45.45716474245116,75.05023683190251
81,site_5397,47.613365384615385,53.36813443640124,Khindipada-Bhandup_West_Mumbai_IITM,19.1653323,72.922099,967.0,2.7521630236794175,2020,1144.0,3.25591985428051,35136.0,12.086457248504663,False,False,False,47.613365384615385,53.36813443640124
86,site_5398,42.635727432077125,43.33245214557306,Navy_Nagar-Colaba_Mumbai_IITM,18.897756,72.81332,3682.0,10.479280510018214,2020,4564.0,12.98952641165756,35136.0,1.634133520076285,False,False,False,42.635727432077125,43.33245214557306
91,site_5399,35.88986236355007,52.06487939287799,Chakala-Andheri_East_Mumbai_IITM,19.11074,72.86084,1713.0,4.875341530054645,2020,2107.0,5.996698542805101,35136.0,45.06848442460272,False,True,True,35.88986236355007,52.06487939287799
96,site_5400,31.59103779768407,29.00706230366492,Borivali_East_Mumbai_IITM,19.23241,72.86895,3056.0,8.697632058287796,2020,4577.0,13.026525500910747,35136.0,-8.17945744792398,False,False,False,31.59103779768407,29.00706230366492
101,site_5401,48.53904808396387,66.99391580502216,Sector-19A_Nerul_Navi_Mumbai_IITM,19.044,73.0325,2708.0,7.707194899817852,2020,4097.0,11.660405282331512,35136.0,38.02066264079729,False,False,False,48.53904808396387,66.99391580502216
106,site_5402,25.06006921187765,26.335817040843928,Malad_West_Mumbai_IITM,19.19709,72.82204,3697.0,10.521971766848816,2020,4479.0,12.747609289617486,35136.0,5.090759399665246,False,False,False,25.06006921187765,26.335817040843928
111,site_5403,,,Siddharth_Nagar-Worli_Mumbai_IITM,19.000083,72.813993,,0.0,2020,,0.0,,,False,False,False,,
116,site_5412,63.09547021943574,112.16437219463754,Kandivali_East_Mumbai_MPCB,19.2058,72.8682,1007.0,2.8660063752276868,2020,1276.0,3.6316029143898,35136.0,77.7692943796887,False,False,False,63.09547021943574,112.16437219463754
121,site_5413,17.556682926829268,32.174060591133006,Mulund_West_Mumbai_MPCB,19.175,72.9419,812.0,2.3110200364298725,2020,1025.0,2.917235883424408,35136.0,83.25819703656077,False,False,False,17.556682926829268,32.174060591133006
