,site_id,PM10,PM10_clean,site_name,lat,lon,PM10_clean_count,PM10_DA,year,PM10_count,PM10_DA_before,timestamp_count,percentage_change,compliance_change_non_to_compl,compliance_change_compl_to_non,compliance_change,pollutant_before_cleaning_mass_conc,pollutant_after_cleaning
0,site_168,96.6877735794216,94.30318662108616,Bandra_Mumbai_MPCB,19.0627,72.84614,25742.0,73.46461187214612,2019,27524.0,78.55022831050228,35040.0,-2.466275590032789,False,False,False,96.6877735794216,94.30318662108616
5,site_261,84.26124921229196,120.5994067097484,Airoli_Navi_Mumbai_MPCB,19.1494,72.9986,,0.0,2019,,0.0,,43.12558600443282,False,True,True,84.26124921229196,120.5994067097484
10,site_5102,84.36356513940974,82.8943542128603,Vasai_West_Mumbai_MPCB,19.3832,72.8204,10824.0,30.89041095890411,2019,12266.0,35.00570776255707,35040.0,-1.7415230427040203,False,False,False,84.36356513940974,82.8943542128603
15,site_5103,88.16582359488035,87.2652040752154,Nerul_Navi_Mumbai_MPCB,19.008751,73.01662,15901.0,45.37956621004567,2019,17970.0,51.284246575342465,35040.0,-1.0215063875581543,False,False,False,88.16582359488035,87.2652040752154
20,site_5104,113.48047792265936,110.41930932069508,Kurla_Mumbai_MPCB,19.0863,72.8888,15825.0,45.16267123287671,2019,17869.0,50.99600456621004,35040.0,-2.697528824341548,False,False,False,113.48047792265936,110.41930932069508
25,site_5106,83.19984905128024,80.72198345805435,Vile_Parle_West_Mumbai_MPCB,19.10861,72.83622,12695.0,36.23002283105023,2019,14177.0,40.45947488584475,35040.0,-2.9782092413396724,False,False,False,83.19984905128024,80.72198345805435
30,site_5107,96.2140921409214,96.1776473750224,Chhatrapati_Shivaji_Intl._Airport_(T2)_Mumbai_MPCB,19.10078,72.87462,16743.0,47.782534246575345,2019,18819.0,53.707191780821915,35040.0,-0.03787882324515658,False,False,False,96.2140921409214,96.1776473750224
35,site_5112,60.49206491035915,60.21670620496143,Powai_Mumbai_MPCB,19.1375,72.915056,15681.0,44.75171232876713,2019,17347.0,49.506278538812786,35040.0,-0.45519805912685846,False,False,False,60.49206491035915,60.21670620496143
40,site_5113,49.25666294577287,48.074589627885686,Borivali_East_Mumbai_MPCB,19.2243333,72.8658113,15291.0,43.638698630136986,2019,17021.0,48.575913242009136,35040.0,-2.3998242008163166,False,False,False,49.25666294577287,48.074589627885686
45,site_5114,100.53553489453192,98.40531951187508,Mahape_Navi_Mumbai_MPCB,19.1135051,73.008978,15242.0,43.49885844748859,2019,17209.0,49.11244292237443,35040.0,-2.1188681045876687,True,False,True,100.53553489453192,98.40531951187508
50,site_5115,79.0188321867599,77.75639338001272,Worli_Mumbai_MPCB,18.9936162,72.8128113,15710.0,44.83447488584475,2019,17734.0,50.6107305936073,35040.0,-1.5976429565086632,False,False,False,79.0188321867599,77.75639338001272
55,site_5119,88.22058408093147,87.60741994899405,Sion_Mumbai_MPCB,19.047,72.8746,14116.0,40.285388127853885,2019,15717.0,44.85445205479452,35040.0,-0.6950352214568447,False,False,False,88.22058408093147,87.60741994899405
60,site_5120,77.17255447077032,75.1501337006181,Colaba_Mumbai_MPCB,18.91,72.82,14884.0,42.47716894977169,2019,16798.0,47.93949771689498,35040.0,-2.6206476953127553,False,False,False,77.17255447077032,75.1501337006181
65,site_5392,,,Bandra_Kurla_Complex_Mumbai_IITM,19.053536,72.84643,,0.0,2019,,0.0,,,False,False,False,,
70,site_5394,,,Mazgaon_Mumbai_IITM,18.96702,72.84214,,0.0,2019,,0.0,,,False,False,False,,
75,site_5396,,,Deonar_Mumbai_IITM,19.04946,72.923,,0.0,2019,,0.0,,,False,False,False,,
80,site_5397,,,Khindipada-Bhandup_West_Mumbai_IITM,19.1653323,72.922099,,0.0,2019,,0.0,,,False,False,False,,
85,site_5398,,,Navy_Nagar-Colaba_Mumbai_IITM,18.897756,72.81332,,0.0,2019,,0.0,,,False,False,False,,
90,site_5399,,,Chakala-Andheri_East_Mumbai_IITM,19.11074,72.86084,,0.0,2019,,0.0,,,False,False,False,,
95,site_5400,,,Borivali_East_Mumbai_IITM,19.23241,72.86895,,0.0,2019,,0.0,,,False,False,False,,
100,site_5401,,,Sector-19A_Nerul_Navi_Mumbai_IITM,19.044,73.0325,,0.0,2019,,0.0,,,False,False,False,,
105,site_5402,,,Malad_West_Mumbai_IITM,19.19709,72.82204,,0.0,2019,,0.0,,,False,False,False,,
110,site_5403,,,Siddharth_Nagar-Worli_Mumbai_IITM,19.000083,72.813993,,0.0,2019,,0.0,,,False,False,False,,
115,site_5412,,,Kandivali_East_Mumbai_MPCB,19.2058,72.8682,,0.0,2019,,0.0,,,False,False,False,,
120,site_5413,,,Mulund_West_Mumbai_MPCB,19.175,72.9419,,0.0,2019,,0.0,,,False,False,False,,
