,site_id,pollutant
0,site_168,Ozone
1,site_168,Ozone
2,site_168,Ozone
3,site_168,Ozone
4,site_168,Ozone
5,site_261,Ozone
6,site_261,Ozone
7,site_261,Ozone
8,site_261,Ozone
9,site_261,Ozone
10,site_5102,Ozone
11,site_5102,Ozone
12,site_5102,Ozone
13,site_5102,Ozone
14,site_5102,Ozone
15,site_5103,Ozone
16,site_5103,Ozone
17,site_5103,Ozone
18,site_5103,Ozone
19,site_5103,Ozone
20,site_5104,Ozone
21,site_5104,Ozone
22,site_5104,Ozone
23,site_5104,Ozone
24,site_5104,Ozone
25,site_5106,Ozone
26,site_5106,Ozone
27,site_5106,Ozone
28,site_5106,Ozone
29,site_5106,Ozone
30,site_5107,Ozone
31,site_5107,Ozone
32,site_5107,Ozone
33,site_5107,Ozone
34,site_5107,Ozone
35,site_5112,Ozone
36,site_5112,Ozone
37,site_5112,Ozone
38,site_5112,Ozone
39,site_5112,Ozone
40,site_5113,Ozone
41,site_5113,Ozone
42,site_5113,Ozone
43,site_5113,Ozone
44,site_5113,Ozone
45,site_5114,Ozone
46,site_5114,Ozone
47,site_5114,Ozone
48,site_5114,Ozone
49,site_5114,Ozone
50,site_5115,Ozone
51,site_5115,Ozone
52,site_5115,Ozone
53,site_5115,Ozone
54,site_5115,Ozone
55,site_5119,Ozone
56,site_5119,Ozone
57,site_5119,Ozone
58,site_5119,Ozone
59,site_5119,Ozone
60,site_5120,Ozone
61,site_5120,Ozone
62,site_5120,Ozone
63,site_5120,Ozone
64,site_5120,Ozone
65,site_5392,Ozone
66,site_5392,Ozone
67,site_5392,Ozone
68,site_5392,Ozone
69,site_5392,Ozone
70,site_5394,Ozone
71,site_5394,Ozone
72,site_5394,Ozone
73,site_5394,Ozone
74,site_5394,Ozone
75,site_5396,Ozone
76,site_5396,Ozone
77,site_5396,Ozone
78,site_5396,Ozone
79,site_5396,Ozone
80,site_5397,Ozone
81,site_5397,Ozone
82,site_5397,Ozone
83,site_5397,Ozone
84,site_5397,Ozone
85,site_5398,Ozone
86,site_5398,Ozone
87,site_5398,Ozone
88,site_5398,Ozone
89,site_5398,Ozone
90,site_5399,Ozone
91,site_5399,Ozone
92,site_5399,Ozone
93,site_5399,Ozone
94,site_5399,Ozone
95,site_5400,Ozone
96,site_5400,Ozone
97,site_5400,Ozone
98,site_5400,Ozone
99,site_5400,Ozone
100,site_5401,Ozone
101,site_5401,Ozone
102,site_5401,Ozone
103,site_5401,Ozone
104,site_5401,Ozone
105,site_5402,Ozone
106,site_5402,Ozone
107,site_5402,Ozone
108,site_5402,Ozone
109,site_5402,Ozone
110,site_5403,Ozone
111,site_5403,Ozone
112,site_5403,Ozone
113,site_5403,Ozone
114,site_5403,Ozone
115,site_5412,Ozone
116,site_5412,Ozone
117,site_5412,Ozone
118,site_5412,Ozone
119,site_5412,Ozone
120,site_5413,Ozone
121,site_5413,Ozone
122,site_5413,Ozone
123,site_5413,Ozone
124,site_5413,Ozone
125,site_5799,Ozone
126,site_5803,Ozone
127,site_5805,Ozone
128,site_5807,Ozone
129,site_5810,Ozone
130,site_5811,Ozone
131,site_5814,Ozone
132,site_5815,Ozone
133,site_5960,Ozone
134,site_5961,Ozone
135,site_5962,Ozone
136,site_5963,Ozone
137,site_5964,Ozone
138,site_168,NO2
139,site_168,NO2
140,site_168,NO2
141,site_168,NO2
142,site_168,NO2
143,site_261,NO2
144,site_261,NO2
145,site_261,NO2
146,site_261,NO2
147,site_261,NO2
148,site_5102,NO2
149,site_5102,NO2
150,site_5102,NO2
151,site_5102,NO2
152,site_5102,NO2
153,site_5103,NO2
154,site_5103,NO2
155,site_5103,NO2
156,site_5103,NO2
157,site_5103,NO2
158,site_5104,NO2
159,site_5104,NO2
160,site_5104,NO2
161,site_5104,NO2
162,site_5104,NO2
163,site_5106,NO2
164,site_5106,NO2
165,site_5106,NO2
166,site_5106,NO2
167,site_5106,NO2
168,site_5107,NO2
169,site_5107,NO2
170,site_5107,NO2
