city,site_id,name,longitude,latitude,live,avg,cityID,stateID,org
Agartala,site_5587,"Bardowali, Agartala - Tripura SPCB",91.2726974,23.8175497,TRUE,100,Agartala,Tripura,DPCC
Agartala,site_5377,"Kunjaban, Agartala - Tripura SPCB",91.2887362,23.8628276,FALSE,,Agartala,Tripura,DPCC
Agra,site_5463,"Shastripuram, Agra - UPPCB",77.92066,27.19862,FALSE,,Agra,Uttar Pradesh,IMD
Agra,site_5465,"Sector-3B Avas Vikas Colony, Agra - UPPCB",77.96237,27.19412,TRUE,71,Agra,Uttar Pradesh,IMD
Agra,site_5482,"Rohta, Agra - UPPCB",78.000111,27.106972,FALSE,,Agra,Uttar Pradesh,IMD
Agra,site_307,"Sanjay Palace, Agra - UPPCB",78.00598056,27.19865833,TRUE,42,Agra,Uttar Pradesh,IMD
Agra,site_5464,"Manoharpur, Agra - UPPCB",78.01936,27.23711,FALSE,,Agra,Uttar Pradesh,IMD
Agra,site_5501,"Shahjahan Garden, Agra - UPPCB",78.03582,27.169338,TRUE,99,Agra,Uttar Pradesh,IMD
Ahmedabad,site_5454,"SAC ISRO Bopal, Ahmedabad - IITM",72.456691,23.041137,FALSE,,Ahmedabad,Gujarat,CPCB
Ahmedabad,site_5455,"SAC ISRO Satellite, Ahmedabad - IITM",72.515201,23.023389,FALSE,,Ahmedabad,Gujarat,DPCC
Ahmedabad,site_5450,"Gyaspur, Ahmedabad - IITM",72.553024,22.977134,FALSE,,Ahmedabad,Gujarat,DPCC
Ahmedabad,site_5449,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",72.562968,23.04307,TRUE,89,Ahmedabad,Gujarat,DPCC
Ahmedabad,site_5453,"Chandkheda, Ahmedabad - IITM",72.574648,23.107969,FALSE,,Ahmedabad,Gujarat,DPCC
Ahmedabad,site_5452,"Raikhad, Ahmedabad - IITM",72.579261,23.020509,FALSE,,Ahmedabad,Gujarat,DPCC
Ahmedabad,site_308,"Maninagar, Ahmedabad - GPCB",72.591912,23.002657,FALSE,,Ahmedabad,Gujarat,CPCB
Ahmedabad,site_5451,"Rakhial, Ahmedabad - IITM",72.625775,23.016834,TRUE,83,Ahmedabad,Gujarat,DPCC
Ahmedabad,site_5456,"SVPI Airport Hansol, Ahmedabad - IITM",72.627874,23.076793,TRUE,112,Ahmedabad,Gujarat,DPCC
Ahmednagar,site_5785,"Tarakpur, Ahmednagar - MPCB",74.73339,19.10122,TRUE,91,Ahmednagar,Maharashtra,KSPCB
Aizawl,site_5346,"Sikulpuikawn, Aizawl - Mizoram PCB",92.7192841,23.7176342,TRUE,64,Aizawl,Mizoram,CPCB
Ajmer,site_1392,"Civil Lines,  Ajmer - RSPCB",74.646594,26.470859,TRUE,80,Ajmer,Rajasthan,KSPCB
Akola,site_5784,"Ramdaspeth, Akola - MPCB",77.000253,20.719516,TRUE,88,Akola,Maharashtra,TSPCB
Alwar,site_1390,"Moti Doongri, Alwar - RSPCB",76.611536,27.554793,TRUE,80,Alwar,Rajasthan,TSPCB
Amaravati,site_1406,"Secretariat, Amaravati - APPCB",80.5181667,16.5150833,TRUE,59,Amaravati,Andhra Pradesh,CPCB
Ambala,site_5052,"Patti Mehar, Ambala - HSPCB",76.778328,30.379589,TRUE,57,Ambala,Haryana,TSPCB
Amravati,site_5787,"Shri Shivaji Science College, Amaravati - MPCB",77.765701,20.939198,TRUE,94,Amravati,Maharashtra,KSPCB
Amravati,site_5786,"Shivneri Colony, Amravati - MPCB",77.7895248,20.9402359,TRUE,90,Amravati,Maharashtra,KSPCB
Amritsar,site_256,"Golden Temple, Amritsar - PPCB",74.876512,31.62,FALSE,,Amritsar,Punjab,IMD
Anantapur,site_5632,"Gulzarpet, Anantapur - APPCB",77.593027,14.675886,FALSE,,Anantapur,Andhra Pradesh,CPCB
Angul,site_5939,"Hakimapada, Angul - OSPCB",85.104082,20.832874,TRUE,160,Angul,Odisha,KSPCB
Ankleshwar,site_5065,"GIDC, Ankleshwar - GPCB",73.010555,21.613267,TRUE,69,Ankleshwar,Gujarat,KSPCB
Araria,site_5539,"Kharahiya Basti, Araria - BSPCB",87.454184,26.146529,TRUE,124,Araria,Bihar,MPCB
